keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
relic.dharma_drum.name,법고,Dharma Drum,Tambour du Dharma,Tamburo del Dharma,Tambor del Dharma,法鼓,Τύμπανο Ντάρμα,法鼓,法鼓,Барабан Дхармы,Tambor do Dharma,Bęben Dharmy,Dharma-Trommel
relic.dharma_drum.desc,전투 시작 시 사기 +2,Morale +2 at battle start,Moral +2 au début du combat,Morale +2 all'inizio,Moral +2 al inicio,戦闘開始時士気+2,+2 Ηθικό στην αρχή της μάχης,战斗开始时士气+2,戰鬥開始時士氣+2,Мораль +2 в начале боя,Moral +2 ao iniciar combate,Morale +2 na początku walki,Moral +2 zu Kampfbeginn
relic.prayer_beads.name,염주,Prayer Beads,Chapelet,Rosario,Rosario,念珠,Χάντρες Προσευχής,念珠,念珠,Чётки,Rosário,Różaniec,Gebetsperlen
relic.prayer_beads.desc,영웅이 피해를 받을 때 방어도 +10,Block +10 when a hero takes damage,Blocage +10 quand un héros reçoit des dégâts,Difesa +10 quando un eroe subisce danni,Defensa +10 cuando un héroe recibe daño,英雄がダメージを受けたとき防御+10,+10 Άμυνα όταν ο ήρωας λαμβάνει ζημιά,英雄受伤时护甲+10,英雄受傷時護甲+10,Блок +10 при уроне героя,Bloqueio +10 quando herói recebe dano,Blok +10 gdy bohater otrzymuje obr.,Block +10 wenn Held Schaden erleidet
relic.yin_yang_mirror.name,음양경,Yin Yang Mirror,Miroir Yin Yang,Specchio Yin Yang,Espejo Yin Yang,陰陽鏡,Καθρέπτης Γιν-Γιανγκ,阴阳镜,陰陽鏡,Зеркало Инь-Ян,Espelho Yin-Yang,Lustro Yin-Yang,Yin-Yang-Spiegel
relic.yin_yang_mirror.desc,전투 시작 시 카드 비용 -1,Reduce card cost by 1 at battle start,Coût de carte -1 au début,Costo carta -1 all'inizio,Coste de carta -1 al inicio,戦闘開始時カードコスト-1,-1 Κόστος Κάρτας στην αρχή,战斗开始时卡牌费用-1,戰鬥開始時卡牌費用-1,Стоимость карты -1 в начале боя,Custo da carta -1 ao iniciar,Koszt karty -1 na początku,Kartenkosten -1 zu Kampfbeginn
relic.five_elements_jade.name,오행 옥,Five Elements Jade,Jade des Cinq Éléments,Giada dei Cinque Elementi,Jade de los Cinco Elementos,五行玉,Νεφρίτης Πέντε Στοιχείων,五行玉,五行玉,Нефрит пяти стихий,Jade dos Cinco Elementos,Jadeit Pięciu Żywiołów,Jade der Fünf Elemente
relic.five_elements_jade.desc,플레이어 턴 종료 시 체력 +15,HP +15 at end of player turn,PV +15 à la fin du tour,PF +15 alla fine del turno,PV +15 al final del turno,プレイヤーターン終了時HP+15,+15 HP στο τέλος του γύρου,玩家回合结束时HP+15,玩家回合結束時HP+15,HP +15 в конце хода,HP +15 ao fim do turno,HP +15 na końcu tury,HP +15 am Rundenende
relic.immortal_crane_feather.name,선학 깃털,Immortal Crane Feather,Plume de Grue Immortelle,Piuma di Gru Immortale,Pluma de Grulla Inmortal,仙鶴の羽根,Φτερό Αθάνατου Γερανού,仙鹤羽毛,仙鶴羽毛,Перо бессмертного журавля,Pena de Grou Imortal,Pióro Nieśmiertelnego Żurawia,Feder des unsterblichen Kranichs
relic.immortal_crane_feather.desc,최대 체력 +30,Max HP +30,PV Max +30,PF Max +30,PV Máx +30,最大HP+30,+30 Μέγιστο HP,最大HP +30,最大HP +30,Макс. HP +30,HP Máx. +30,Maks. HP +30,Max-HP +30
relic.sacred_scroll_1.name,첫 번째 성스러운 두루마리,First Sacred Scroll,Premier Parchemin Sacré,Prima Pergamena Sacra,Primer Pergamino Sagrado,一つ目の聖なる巻物,Πρώτος Ιερός Κύλινδρος,第一神圣卷轴,第一神聖捲軸,Первый священный свиток,Primeiro Pergaminho Sagrado,Pierwszy Święty Zwój,Erste Heilige Schriftrolle
relic.sacred_scroll_1.desc,1번째 턴 시작 시 카드를 2장 더 뽑습니다,Draw 2 extra cards at the start of turn 1,Piochez 2 cartes bonus au début du tour 1,Pesca 2 carte extra all'inizio del turno 1,Roba 2 cartas extra al inicio del turno 1,1ターン目開始時にカードを2枚追加で引く,Τραβήξτε 2 επιπλέον κάρτες στην αρχή του γύρου 1,第 1 回合开始时额外抽 2 张牌,第 1 回合開始時額外抽 2 張牌,2 доп. карты в начале 1-го хода,2 cartas extras no início do turno 1,2 dod. karty na początku tury 1,2 zusätzliche Karten zu Beginn von Runde 1
relic.sacred_scroll_2.name,두 번째 성스러운 두루마리,Second Sacred Scroll,Deuxième Parchemin Sacré,Seconda Pergamena Sacra,Segundo Pergamino Sagrado,二つ目の聖なる巻物,Δεύτερος Ιερός Κύλινδρος,第二神圣卷轴,第二神聖捲軸,Второй священный свиток,Segundo Pergaminho Sagrado,Drugi Święty Zwój,Zweite Heilige Schriftrolle
relic.sacred_scroll_2.desc,2번째 턴 시작 시 카드를 2장 더 뽑습니다,Draw 2 extra cards at the start of turn 2,Piochez 2 cartes bonus au début du tour 2,Pesca 2 carte extra all'inizio del turno 2,Roba 2 cartas extra al inicio del turno 2,2ターン目開始時にカードを2枚追加で引く,Τραβήξτε 2 επιπλέον κάρτες στην αρχή του γύρου 2,第 2 回合开始时额外抽 2 张牌,第 2 回合開始時額外抽 2 張牌,2 доп. карты в начале 2-го хода,2 cartas extras no início do turno 2,2 dod. karty na początku tury 2,2 zusätzliche Karten zu Beginn von Runde 2
relic.sacred_scroll_3.name,세 번째 성스러운 두루마리,Third Sacred Scroll,Troisième Parchemin Sacré,Terza Pergamena Sacra,Tercer Pergamino Sagrado,三つ目の聖なる巻物,Τρίτος Ιερός Κύλινδρος,第三神圣卷轴,第三神聖捲軸,Третий священный свиток,Terceiro Pergaminho Sagrado,Trzeci Święty Zwój,Dritte Heilige Schriftrolle
relic.sacred_scroll_3.desc,3번째 턴 시작 시 카드를 2장 더 뽑습니다,Draw 2 extra cards at the start of turn 3,Piochez 2 cartes bonus au début du tour 3,Pesca 2 carte extra all'inizio del turno 3,Roba 2 cartas extra al inicio del turno 3,3ターン目開始時にカードを2枚追加で引く,Τραβήξτε 2 επιπλέον κάρτες στην αρχή του γύρου 3,第 3 回合开始时额外抽 2 张牌,第 3 回合開始時額外抽 2 張牌,2 доп. карты в начале 3-го хода,2 cartas extras no início do turno 3,2 dod. karty na początku tury 3,2 zusätzliche Karten zu Beginn von Runde 3
relic.swift_seal.name,신속의 인장,Seal of Swiftness,Sceau de la Célérité,Sigillo della Celerità,Sello de la Celeridad,迅速の印章,Σφραγίδα Ταχύτητας,迅捷印章,迅捷印章,Печать стремительности,Selo da Celeridade,Pieczęć Szybkości,Siegel der Geschwindigkeit
relic.swift_seal.desc,전투 시작 시 모든 영웅 속도 +3 (전투 끝까지),All heroes: Speed +3 at battle start (until end),Tous héros: Vitesse +3 au début (jusqu'à la fin),Tutti gli eroi: Velocità +3 all'inizio (fino alla fine),Todos héroes: Velocidad +3 al inicio (hasta el final),戦闘開始時、全英雄の速度+3（戦闘終了まで）,Όλοι οι ήρωες: Ταχύτητα +3 στην αρχή (μέχρι το τέλος),战斗开始时全英雄速度+3（直到战斗结束）,戰鬥開始時全英雄速度+3（直到戰鬥結束）,Скорость всех героев +3 (до конца боя),Velocidade de todos +3 (até o fim),Szybkość wszystkich +3 (do końca),Geschw. aller +3 (bis Kampfende)
relic.time_hourglass.name,시간의 모래시계,Hourglass of Time,Sablier du Temps,Clessidra del Tempo,Reloj de Arena del Tiempo,時の砂時計,Κλεψύδρα του Χρόνου,时光沙漏,時光沙漏,Песочные часы Времени,Ampulheta do Tempo,Klepsydra Czasu,Sanduhr der Zeit
relic.time_hourglass.desc,영웅 차례 5회마다 모든 영웅 속도 +1 누적,All heroes: Speed +1 every 5 hero turns (cumulative),Tous héros: Vitesse +1 tous les 5 tours (cumulatif),Tutti eroi: Velocità +1 ogni 5 turni (cumulativo),Todos héroes: Velocidad +1 cada 5 turnos (acumulativo),英雄ターン5回毎に全英雄の速度+1（累積）,Όλοι οι ήρωες: Ταχύτητα +1 κάθε 5 γύρους (σωρευτικό),每5个英雄回合全英雄速度+1（累积）,每5個英雄回合全英雄速度+1（累積）,Скорость +1 каждые 5 ходов героев (накопительно),Velocidade +1 a cada 5 turnos (cumulativo),Szybkość +1 co 5 tur (kumulatywnie),Geschw. +1 alle 5 Heldenrunden (kumulativ)
relic.burning_blood.lore,식지 않는 심장에서 거두었다. 그는 아직도 자신이 살아있다 믿는다.,Taken from a heart that will not cool. He still believes himself alive.,Pris à un cœur qui ne refroidit pas. Il se croit encore vivant.,Preso da un cuore che non si raffredda. Crede ancora di essere vivo.,Tomado de un corazón que no se enfría. Aún se cree vivo.,冷めぬ心臓から取り出した。彼は今も自分が生きていると信じている。,Παρμένο από καρδιά που δεν κρυώνει. Πιστεύει ακόμη πως ζει.,取自一颗不会冷却的心。他至今仍以为自己活着。,取自一顆不會冷卻的心。他至今仍以為自己活著。,"Взято из сердца, что не остывает. Он всё ещё мнит себя живым.",Tirado de um coração que não esfria. Ainda se crê vivo.,"Wzięte z serca, które nie stygnie. Wciąż wierzy, że żyje.","Einem Herzen entnommen, das nicht erkaltet. Er glaubt sich noch am Leben."
relic.phoenix_feather.lore,재가 되어도 다시 타오르는 깃털. 전당이 가장 아끼는 성질이다.,A feather that kindles anew from ash. The Hall prizes this trait above all.,Une plume qui renaît de la cendre. Le Sanctuaire chérit ce trait par-dessus tout.,Una piuma che riarde dalla cenere. La Sala apprezza questa qualità più di ogni altra.,Una pluma que renace de la ceniza. El Santuario aprecia este rasgo ante todo.,灰になってもまた燃え上がる羽。殿堂が最も好む性質だ。,Φτερό που αναφλέγεται ξανά απ' τη στάχτη. Η Αίθουσα εκτιμά τούτο πάνω απ' όλα.,化为灰烬仍会重燃的羽。殿堂最珍视这般秉性。,化為灰燼仍會重燃的羽。殿堂最珍視這般稟性。,"Перо, что вновь вспыхивает из пепла. Чертог ценит это свойство превыше всего.",Uma pena que arde de novo das cinzas. O Salão preza esse traço acima de tudo.,"Pióro, które znów płonie z popiołu. Sala ceni tę cechę nad wszystko.","Eine Feder, die aus Asche neu entflammt. Die Halle schätzt dieses Wesen am meisten."
relic.poison_vial.lore,어느 독살자의 마지막 한 방울. 병은 비었어도 손은 아직 떨린다.,"The last drop of some poisoner. The vial is empty, yet the hand still trembles.","La dernière goutte d'un empoisonneur. La fiole est vide, mais la main tremble encore.","L'ultima goccia di un avvelenatore. La fiala è vuota, ma la mano trema ancora.","La última gota de un envenenador. El vial está vacío, pero la mano aún tiembla.",ある毒殺者の最後の一滴。瓶は空でも、手はまだ震えている。,"Η τελευταία σταγόνα κάποιου δηλητηριαστή. Το φιαλίδιο άδειο, μα το χέρι τρέμει ακόμη.",某个下毒者的最后一滴。瓶虽空了，手却仍在颤抖。,某個下毒者的最後一滴。瓶雖空了，手卻仍在顫抖。,"Последняя капля некоего отравителя. Флакон пуст, но рука всё ещё дрожит.","A última gota de algum envenenador. O frasco está vazio, mas a mão ainda treme.","Ostatnia kropla pewnego truciciela. Flakon pusty, lecz dłoń wciąż drży.","Der letzte Tropfen eines Giftmischers. Das Fläschchen leer, doch die Hand zittert noch."
relic.war_drum.lore,북소리는 죽은 군대를 깨운다. 그들은 누구와 싸우는지 묻지 않는다.,The drum wakes dead armies. They never ask whom they fight.,Le tambour réveille les armées mortes. Elles ne demandent jamais qui elles combattent.,Il tamburo desta eserciti morti. Non chiedono mai chi combattono.,El tambor despierta ejércitos muertos. Nunca preguntan a quién combaten.,太鼓は死せる軍を呼び覚ます。彼らは誰と戦うのか問わない。,Το τύμπανο ξυπνά νεκρούς στρατούς. Ποτέ δεν ρωτούν ποιον πολεμούν.,鼓声唤醒死去的军队。他们从不问自己在与谁作战。,鼓聲喚醒死去的軍隊。他們從不問自己在與誰作戰。,"Барабан будит мёртвые армии. Они никогда не спрашивают, с кем сражаются.",O tambor desperta exércitos mortos. Nunca perguntam contra quem lutam.,"Bęben budzi martwe armie. Nigdy nie pytają, z kim walczą.","Die Trommel weckt tote Heere. Sie fragen nie, wen sie bekämpfen."
relic.ancient_artifact.lore,이름도 쓰임도 잊힌 물건. 전당의 가장 오래된 진열대에서 거두었다.,An object whose name and purpose are forgotten. Taken from the Hall's oldest shelf.,Un objet dont le nom et l'usage sont oubliés. Pris sur l'étagère la plus ancienne du Sanctuaire.,Un oggetto di cui si è scordato nome e uso. Preso dallo scaffale più antico della Sala.,Un objeto cuyo nombre y uso se han olvidado. Tomado del estante más antiguo del Santuario.,名も用途も忘れられた物。殿堂の最も古い棚から取った。,Αντικείμενο που ξεχάστηκε τ' όνομα κι ο σκοπός του. Παρμένο απ' το παλιότερο ράφι της Αίθουσας.,名称与用途皆已被遗忘之物。取自殿堂最古老的陈列架。,名稱與用途皆已被遺忘之物。取自殿堂最古老的陳列架。,"Предмет, чьё имя и назначение забыты. Взят с древнейшей полки Чертога.",Um objeto cujo nome e uso se esqueceram. Tirado da prateleira mais antiga do Salão.,"Przedmiot, którego nazwę i przeznaczenie zapomniano. Wzięty z najstarszej półki Sali.","Ein Ding, dessen Name und Zweck vergessen sind. Vom ältesten Regal der Halle genommen."
relic.hourglass.lore,모래는 늘 같은 양으로 돌아온다. 이곳의 시간이 그러하듯.,The sand always returns in the same measure — as does the time of this place.,Le sable revient toujours dans la même mesure — comme le temps de ce lieu.,La sabbia torna sempre nella stessa misura — come il tempo di questo luogo.,La arena vuelve siempre en la misma medida — como el tiempo de este lugar.,砂はいつも同じ量で戻る。この地の時間がそうであるように。,Η άμμος επιστρέφει πάντα στο ίδιο μέτρο — όπως κι ο χρόνος τούτου του τόπου.,沙总以同样的量回流，正如此地的时间。,沙總以同樣的量回流，正如此地的時間。,Песок всегда возвращается в той же мере — как и время этого места.,A areia volta sempre na mesma medida — como o tempo deste lugar.,Piasek zawsze wraca w tej samej mierze — jak czas tego miejsca.,Der Sand kehrt stets im gleichen Maß zurück — wie die Zeit dieses Ortes.
relic.blood_stone.lore,흘린 피를 힘으로 바꾼다. 그 피가 누구의 것이었는지는 묻지 않는다.,It turns spilled blood into strength. It does not ask whose blood it was.,Elle change le sang versé en force. Elle ne demande pas à qui il était.,Tramuta il sangue versato in forza. Non chiede di chi fosse.,Convierte la sangre vertida en fuerza. No pregunta de quién era.,流れた血を力に変える。その血が誰のものかは問わない。,Μετατρέπει το χυμένο αίμα σε δύναμη. Δεν ρωτά τίνος ήταν.,它将流出的血化作力量，从不问那血属于谁。,它將流出的血化作力量，從不問那血屬於誰。,"Она обращает пролитую кровь в силу. Не спрашивая, чья то была кровь.",Transforma o sangue derramado em força. Não pergunta de quem era.,"Przemienia przelaną krew w siłę. Nie pyta, czyja to była krew.","Es wandelt vergossenes Blut in Kraft. Es fragt nicht, wessen Blut es war."
relic.emperors_seal.lore,되찾지 못한 제국의 인장. 그는 매번 이번엔 다르리라 서명한다.,"Seal of an empire never reclaimed. Each time, he signs as though this time were different.","Sceau d'un empire jamais repris. Chaque fois, il signe comme si cette fois différait.",Sigillo di un impero mai riconquistato. Ogni volta firma come se stavolta fosse diverso.,Sello de un imperio nunca recuperado. Cada vez firma como si esta fuera distinta.,取り戻せなかった帝国の印章。彼は毎度、今度こそ違うと署名する。,Σφραγίδα αυτοκρατορίας που δεν ξανακερδήθηκε. Κάθε φορά υπογράφει σαν να 'ναι διαφορετικά.,一个从未夺回的帝国之印。他每次都签下名，仿佛这次会不同。,一個從未奪回的帝國之印。他每次都簽下名，彷彿這次會不同。,"Печать империи, что не была возвращена. Всякий раз он подписывает так, будто теперь иначе.",Selo de um império nunca retomado. A cada vez assina como se desta vez fosse diferente.,"Pieczęć imperium nigdy nieodzyskanego. Za każdym razem podpisuje, jakby tym razem było inaczej.","Siegel eines nie zurückeroberten Reiches. Jedes Mal siegelt er, als wäre es diesmal anders."
relic.serpent_bracelet.lore,여왕의 손목을 떠나지 않은 뱀. 그녀를 문 바로 그 뱀이다.,The serpent that never left the queen's wrist — the very one that bit her.,Le serpent qui ne quitta jamais le poignet de la reine — celui-là même qui la mordit.,Il serpente che mai lasciò il polso della regina — proprio quello che la morse.,La serpiente que nunca dejó la muñeca de la reina — la misma que la mordió.,女王の手首を離れなかった蛇。彼女を噛んだ、まさにその蛇だ。,Το φίδι που δεν άφησε ποτέ τον καρπό της βασίλισσας — αυτό ακριβώς που τη δάγκωσε.,那条从未离开女王手腕的蛇——正是咬了她的那一条。,那條從未離開女王手腕的蛇——正是咬了她的那一條。,"Змея, что не покидала запястья царицы, — та самая, что ужалила её.",A serpente que nunca deixou o pulso da rainha — a mesma que a mordeu.,"Wąż, który nie opuścił nadgarstka królowej — ten sam, co ją ukąsił.","Die Schlange, die das Handgelenk der Königin nie verließ — eben jene, die sie biss."
relic.turtle_ship_model.lore,지켜낸 바다의 작은 모형. 진짜 바다는 그가 끝내 보지 못한 곳에 있다.,A small model of the sea he saved. The true sea lies somewhere he never got to see.,Une maquette de la mer qu'il sauva. La vraie mer est là où il ne put jamais voir.,Un modellino del mare che salvò. Il mare vero è dove non riuscì mai a vedere.,Una maqueta del mar que salvó. El mar verdadero está donde nunca llegó a ver.,守り抜いた海の小さな模型。本物の海は、彼が遂に見られぬ場所にある。,Μικρό ομοίωμα της θάλασσας που έσωσε. Η αληθινή θάλασσα κείται εκεί που ποτέ δεν είδε.,他所守护之海的小小模型。真正的海，在他始终未能看见之处。,他所守護之海的小小模型。真正的海，在他始終未能看見之處。,"Маленькая модель моря, которое он спас. Настоящее море там, где ему так и не довелось побывать.",Um pequeno modelo do mar que salvou. O mar verdadeiro fica onde ele nunca chegou a ver.,"Mały model morza, które ocalił. Prawdziwe morze leży tam, gdzie nigdy nie dane mu było ujrzeć.","Ein kleines Modell des Meeres, das er rettete. Das wahre Meer liegt, wo er es nie zu sehen bekam."
relic.artillery_horn.lore,진격을 알리던 나팔. 이제는 같은 진격만을 끝없이 부른다.,"A horn that once sounded the advance. Now it calls the same advance, without end.","Un cor qui sonnait la charge. À présent il sonne la même charge, sans fin.","Un corno che suonava la carica. Ora suona la stessa carica, senza fine.","Un cuerno que tocaba la carga. Ahora toca la misma carga, sin fin.",進撃を告げたラッパ。今は同じ進撃を、果てしなく鳴らす。,"Κέρας που σήμαινε την έφοδο. Τώρα σημαίνει την ίδια έφοδο, ατελείωτα.",曾吹响进军的号角。如今只吹奏同一次进军，永无止境。,曾吹響進軍的號角。如今只吹奏同一次進軍，永無止境。,"Рог, что некогда трубил наступление. Ныне он трубит то же наступление без конца.","Uma corneta que tocava o avanço. Agora toca o mesmo avanço, sem fim.","Róg, co grał do natarcia. Teraz gra to samo natarcie, bez końca.","Ein Horn, das einst den Vormarsch blies. Nun bläst es denselben Vormarsch, ohne Ende."
relic.nanjung_ilgi.lore,전장의 밤마다 적은 일지. 마지막 장은 늘 찢겨 있다.,A journal kept each night of war. Its final page is always torn away.,Un journal tenu chaque nuit de guerre. Sa dernière page est toujours arrachée.,Un diario tenuto ogni notte di guerra. L'ultima pagina è sempre strappata.,Un diario escrito cada noche de guerra. Su última página siempre está arrancada.,戦場の夜ごとに記した日誌。最後の頁はいつも破り取られている。,Ημερολόγιο γραμμένο κάθε νύχτα πολέμου. Η τελευταία σελίδα πάντα σκισμένη.,战场上每夜写下的日志。最后一页总是被撕去。,戰場上每夜寫下的日誌。最後一頁總是被撕去。,"Дневник, что вёлся каждую ночь войны. Последняя страница всегда вырвана.",Um diário escrito a cada noite de guerra. A última página está sempre arrancada.,Dziennik pisany każdej nocy wojny. Ostatnia strona zawsze wydarta.,"Ein Tagebuch, jede Kriegsnacht geführt. Die letzte Seite ist stets herausgerissen."
relic.pharaoh_seal.lore,왕국을 봉인하던 인장. 봉인된 것은 왕국이 아니라 그녀였다.,"A seal that sealed a kingdom. What it sealed was not the kingdom, but her.","Un sceau qui scellait un royaume. Ce qu'il scella ne fut pas le royaume, mais elle.","Un sigillo che sigillava un regno. Ciò che sigillò non fu il regno, ma lei.","Un sello que sellaba un reino. Lo que selló no fue el reino, sino a ella.",王国を封じた印章。封じられたのは王国ではなく、彼女だった。,"Σφραγίδα που σφράγιζε ένα βασίλειο. Αυτό που σφράγισε δεν ήταν το βασίλειο, μα εκείνη.",曾封印王国的印章。被封印的不是王国，而是她。,曾封印王國的印章。被封印的不是王國，而是她。,"Печать, что запечатывала царство. Запечатала она не царство, а её.","Um selo que selava um reino. O que selou não foi o reino, mas ela.","Pieczęć, co pieczętowała królestwo. Zapieczętowała nie królestwo, lecz ją.","Ein Siegel, das ein Königreich versiegelte. Versiegelt ward nicht das Reich, sondern sie."
relic.devils_contract.lore,누가 서명했는지 잉크는 기억하지 못한다. 대가만이 또렷하다.,The ink no longer recalls who signed. Only the price remains clear.,L'encre ne se souvient plus du signataire. Seul le prix demeure net.,L'inchiostro non ricorda più chi firmò. Solo il prezzo resta chiaro.,La tinta ya no recuerda quién firmó. Solo el precio sigue nítido.,誰が署名したか、インクは覚えていない。代価だけが鮮明だ。,Το μελάνι δεν θυμάται πια ποιος υπέγραψε. Μόνο το τίμημα μένει καθαρό.,墨水已不记得是谁签了名。唯有代价依旧清晰。,墨水已不記得是誰簽了名。唯有代價依舊清晰。,"Чернила уже не помнят, кто подписал. Ясна лишь цена.",A tinta já não recorda quem assinou. Só o preço permanece nítido.,"Atrament nie pamięta już, kto podpisał. Wyraźna pozostaje tylko cena.","Die Tinte weiß nicht mehr, wer unterschrieb. Nur der Preis bleibt klar."
relic.cursed_crown.lore,쓴 자마다 머리를 잃었다. 전당은 왕관만을 거두었다.,Each who wore it lost their head. The Hall kept only the crown.,Quiconque la porta perdit la tête. Le Sanctuaire ne garda que la couronne.,Chi la indossò perse la testa. La Sala conservò solo la corona.,Cada quien que la llevó perdió la cabeza. El Santuario conservó solo la corona.,被った者は皆、首を失った。殿堂は王冠だけを収めた。,Όποιος τη φόρεσε έχασε το κεφάλι του. Η Αίθουσα κράτησε μόνο το στέμμα.,凡戴上它者皆失了头颅。殿堂只收下了王冠。,凡戴上它者皆失了頭顱。殿堂只收下了王冠。,"Каждый, кто надевал её, лишался головы. Чертог сохранил лишь корону.",Cada um que a usou perdeu a cabeça. O Salão guardou apenas a coroa.,"Każdy, kto ją włożył, stracił głowę. Sala zachowała tylko koronę.","Jeder, der sie trug, verlor den Kopf. Die Halle behielt nur die Krone."
relic.blood_oath.lore,피로 맺은 약속. 약속의 상대는 이미 잊혔다.,An oath sworn in blood. The one it was sworn to is long forgotten.,Un serment scellé dans le sang. Celui à qui il fut juré est oublié depuis longtemps.,Un giuramento siglato col sangue. Colui a cui fu giurato è dimenticato da tempo.,Un juramento sellado en sangre. A quien se juró hace mucho que se olvidó.,血で結んだ約束。誓った相手は、もう忘れられた。,Όρκος σφραγισμένος με αίμα. Αυτός στον οποίο δόθηκε ξεχάστηκε προ πολλού.,以血立下的誓约。立誓的对象，早已被遗忘。,以血立下的誓約。立誓的對象，早已被遺忘。,"Клятва, скреплённая кровью. Тот, кому её дали, давно забыт.",Um juramento selado em sangue. Aquele a quem foi jurado há muito se esqueceu.,"Przysięga przypieczętowana krwią. Ten, komu ją złożono, dawno zapomniany.","Ein in Blut geschworener Eid. Wem er galt, ist längst vergessen."
relic.tacticians_map.lore,모든 길이 그려진 지도. 그러나 나가는 길만은 없다.,A map of every road — save the one that leads out.,Une carte de toutes les routes — hormis celle qui mène dehors.,Una mappa di ogni strada — tranne quella che porta fuori.,Un mapa de todos los caminos — salvo el que lleva afuera.,あらゆる道が描かれた地図。ただ、外へ出る道だけがない。,Χάρτης κάθε δρόμου — εκτός απ' αυτόν που βγάζει έξω.,绘有一切道路的地图——唯独没有出去的那条。,繪有一切道路的地圖——唯獨沒有出去的那條。,"Карта всех дорог — кроме той, что ведёт наружу.",Um mapa de todas as estradas — exceto a que leva para fora.,"Mapa wszystkich dróg — prócz tej, co wiedzie na zewnątrz.","Eine Karte aller Wege — bis auf den, der hinausführt."
relic.iron_will.lore,꺾이지 않은 의지의 조각. 꺾이지 않았기에 놓여나지도 못한다.,"A shard of unbroken will. Unbroken, and so never released.","Un éclat de volonté jamais brisée. Jamais brisée, donc jamais délivrée.","Una scheggia di volontà mai spezzata. Mai spezzata, e perciò mai liberata.","Un fragmento de voluntad nunca quebrada. Nunca quebrada, y por eso nunca liberada.",折れなかった意志の欠片。折れぬがゆえに、解き放たれもしない。,"Θραύσμα θέλησης που δεν λύγισε. Δεν λύγισε, γι' αυτό δεν λυτρώθηκε ποτέ.",一块不曾折断的意志碎片。正因不折，便也无从解脱。,一塊不曾折斷的意志碎片。正因不折，便也無從解脫。,Осколок несломленной воли. Несломленной — а потому так и не отпущенной.,"Um fragmento de vontade nunca quebrada. Nunca quebrada, e por isso nunca liberta.","Odłamek woli, której nie złamano. Niezłamana — więc nigdy nie uwolniona.","Ein Splitter ungebrochenen Willens. Ungebrochen, und so nie erlöst."
relic.ancient_shield.lore,수많은 손을 거친 방패. 마지막 주인의 이름은 끝내 새겨지지 않았다.,A shield passed through countless hands. Its last bearer's name was never carved.,Un bouclier passé par d'innombrables mains. Le nom de son dernier porteur ne fut jamais gravé.,Uno scudo passato per innumerevoli mani. Il nome dell'ultimo portatore non fu mai inciso.,Un escudo pasado por incontables manos. El nombre de su último portador nunca se grabó.,数えきれぬ手を渡った盾。最後の持ち主の名は、遂に刻まれなかった。,Ασπίδα που πέρασε απ' αμέτρητα χέρια. Τ' όνομα του τελευταίου κατόχου δεν χαράχτηκε ποτέ.,经无数双手传递的盾。最后一位持有者的名字，终未被刻下。,經無數雙手傳遞的盾。最後一位持有者的名字，終未被刻下。,"Щит, прошедший через бесчисленные руки. Имя последнего носителя так и не вырезали.",Um escudo passado por incontáveis mãos. O nome do último portador nunca foi gravado.,"Tarcza, co przeszła przez niezliczone dłonie. Imienia ostatniego nosiciela nigdy nie wyryto.","Ein Schild, durch zahllose Hände gegangen. Der Name des letzten Trägers ward nie eingeritzt."
relic.ankh_of_life.lore,생명을 약속하는 표식. 이곳에서 그것은 '끝나지 않음'을 뜻한다.,"A sign that promises life. Here, it means only this: no end.","Un signe qui promet la vie. Ici, il ne signifie qu'une chose : nulle fin.",Un segno che promette la vita. Qui significa solo questo: nessuna fine.,Un signo que promete la vida. Aquí solo significa esto: ningún fin.,命を約束する印。この地では、それは「終わらぬこと」を意味する。,Σύμβολο που υπόσχεται ζωή. Εδώ σημαίνει μόνο τούτο: κανένα τέλος.,一个许诺生命的符号。在此地，它只意味着：没有终结。,一個許諾生命的符號。在此地，它只意味著：沒有終結。,"Знак, сулящий жизнь. Здесь он значит лишь одно: нет конца.",Um signo que promete vida. Aqui significa apenas isto: nenhum fim.,"Znak, co obiecuje życie. Tu znaczy tylko tyle: brak końca.","Ein Zeichen, das Leben verheißt. Hier bedeutet es nur: kein Ende."
relic.eye_of_horus.lore,모든 것을 본다는 눈. 정작 제 처지만은 보지 못한다.,An eye said to see all — save its own plight.,"Un œil qui voit tout, dit-on — sauf sa propre condition.","Un occhio che vede tutto, si dice — tranne la propria sorte.","Un ojo que todo lo ve, dicen — salvo su propia condición.",全てを見るという目。ただ己の境遇だけは見えない。,"Μάτι που τα βλέπει όλα, λένε — εκτός απ' τη δική του μοίρα.",据说能洞见一切的眼。唯独看不见自身的处境。,據說能洞見一切的眼。唯獨看不見自身的處境。,"Око, что видит всё, как говорят, — кроме собственной участи.","Um olho que tudo vê, dizem — exceto a própria sina.","Oko, co widzi wszystko, jak mówią — prócz własnego losu.","Ein Auge, das alles sieht, sagt man — nur sein eigenes Los nicht."
